"App Name","App ID","Store","Device","Country Code","Language Code","Main App ID","Main App Name","Date","Average Rating","RA 5 stars","RA 4 stars","RA 3 stars","RA 2 stars","RA 1 star","Total Ratings","Average Reviews Daily","RE 5 stars Daily","RE 4 stars Daily","RE 3 stars Daily","RE 2 stars Daily","RE 1 star Daily","Total Reviews Daily","Ratings Average Daily Change","RA 5 stars Daily","RA 4 stars Daily","RA 3 stars Daily","RA 2 stars Daily","RA 1 star Daily","Total Ratings Daily"
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-26","","","","","","","","3.38832","126","46","20","13","86","291","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-27","","","","","","","","3.50325","133","54","28","21","72","308","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-28","","","","","","","","3.5784","126","55","27","17","62","287","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-29","","","","","","","","3.5625","118","40","26","12","60","256","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-30","","","","","","","","3.18827","116","52","33","23","100","324","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-03-31","","","","","","","","3.14525","126","52","35","38","107","358","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-01","","","","","","","","3.37228","154","56","30","29","99","368","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-02","","","","","","","","3.37771","137","49","24","25","88","323","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-03","","","","","","","","3.42975","49","25","10","3","34","121","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-04","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
