,Variable,Wald statistic,p-value
0,Unnamed: 0,5.405811486428762e-23,0.9999999999941336
1,app_category,1.514514524899036e-21,0.999999999968949
2,size_of_user_base,271.5383676079081,5.243631946087618e-61
3,avg_rel_rating,6.621051426693471e-22,0.9999999999794693
4,rel_count,2.4073248312449565e-22,0.9999999999876203
5,rel_freq,1.1475685948463756e-19,0.9999999997297103
6,same_day_rel,4.1438450461421173e-22,0.9999999999837579
7,improve_keywords,3.73458045901532e-24,0.9999999999984581
8,bug_keywords,2.857403502716111e-23,0.999999999995735
9,emergency_keywords,7.161419480956231e-22,0.999999999978648
