,Variable,Wald statistic,p-value
0,Unnamed: 0,1.5125313510603418e-17,0.9999999968969251
1,app_category,4.261917634917061e-16,0.9999999835281421
2,size_of_user_base,324859.9353640778,0.0
3,avg_rel_rating,3.661094188673735e-16,0.999999984733288
4,rel_count,1.513289418269771e-16,0.9999999901847569
5,rel_freq,1.503270258769858e-15,0.9999999690643964
6,same_day_rel,2.1843301323916496e-17,0.9999999962709415
7,improve_keywords,1.0852689892538036e-17,0.9999999973714953
8,bug_keywords,3.1797096831146346e-17,0.9999999955008155
9,emergency_keywords,1.2460003309325319e-17,0.9999999971835688
