,Variable,Wald statistic,p-value
0,Unnamed: 0,7.632671622097476,0.005732033345754616
1,app_category,0.02036576092054558,0.886520279024872
2,size_of_user_base,8915.612924227928,0.0
3,avg_rel_rating,0.005888003579056117,0.9388356910264432
4,rel_count,3.0154933158175288,0.08247235815203768
5,rel_freq,2215.460088488888,0.0
6,same_day_rel,1.9303104198095283e-05,0.9964944816744633
7,improve_keywords,2.6526205758894776,0.10337934611409132
8,bug_keywords,0.08786169081871797,0.7669133793272513
9,emergency_keywords,3.996060348053362e-06,0.9984050179811272
