,Variable,Wald statistic,p-value
0,Unnamed: 0,6.155804455240198e-24,0.9999999999980204
1,app_category,1.986698159545048e-22,0.9999999999887538
2,size_of_user_base,150.49368102249625,1.352240544490939e-34
3,avg_rel_rating,7.011551563887837e-23,0.9999999999933189
4,rel_count,7.278010707355709e-23,0.9999999999931931
5,rel_freq,6.112168408420376e-20,0.9999999998027406
6,same_day_rel,1.8656396501085578e-22,0.9999999999891018
7,improve_keywords,3.852718801683206e-24,0.9999999999984339
8,bug_keywords,5.2268778879841893e-23,0.9999999999942315
9,emergency_keywords,2.410355626070646e-22,0.9999999999876126
