,Variable,Wald statistic,p-value
0,Unnamed: 0,inf,0.0
1,app_category,inf,0.0
2,size_of_user_base,inf,0.0
3,avg_rel_rating,inf,0.0
4,rel_count,inf,0.0
5,rel_freq,inf,0.0
6,same_day_rel,inf,0.0
7,improve_keywords,inf,0.0
8,bug_keywords,inf,0.0
9,emergency_keywords,inf,0.0
